ID,Business Size,Service Category,Product/Service,SKU,Permalink,Description,Delivery Method,GTIN,Team Size,Estimated Delivery Time,Modifiers,Price (USD),Fair Market Price Range in USA,Unit
35,Large Business,Mobile/Web Development,Custom Software and Application Development,MWD-CSAAD-3722,custom-software-and-application-development,Developing custom software solutions tailored to specific business needs. Creating complex web applications with advanced functionality. Providing ongoing support and iterative improvements.,Digital Delivery,19459747163476,3,20-25 Business Days,"Feature Complexity, Scalability Requirements, Ongoing Support",30000,"30,000 - 100,000+",Project
36,All Business Sizes,Mobile/Web Development,Consulting and Strategy Development,MWD-CASD-2625,consulting-and-strategy-development,Offering consulting services for digital transformation and online strategy. Helping businesses choose the right technologies and platforms. Providing guidance on best practices in web development.,Digital Delivery,46746380394391,1,5-7 Business Days,"Industry Specialization, Long-Term Engagement, Strategic Implementation",100,100 - 250 per hour,Project
37,All Business Sizes,Mobile/Web Development,Website Redesign and Optimization,MWD-WRAO-7363,website-redesign-and-optimization,Redesigning existing websites to improve performance and user experience. Updating designs to reflect current trends and branding. Conducting usability testing and implementing user feedback.,Digital Delivery,20256258825006,1,7-10 Business Days,"Scope of Redesign, User Feedback Integration, Brand Consistency",5000,"5,000 - 20,000+",Project
38,All Business Sizes,Mobile/Web Development,Migration and Platform Transition,MWD-MAPT-2729,migration-and-platform-transition,Migrating websites or applications to new platforms or hosting providers. Ensuring a smooth transition with minimal downtime. Handling data migration and reconfiguration of services.,Digital Delivery,71473469057315,1,3-5 Business Days,"Size and Complexity of Site, Downtime Minimization, Data Integrity",3000,"3,000 - 10,000",Project
39,All Business Sizes,Mobile/Web Development,Accessibility and Compliance,MWD-AAC-8708,accessibility-and-compliance,"Ensuring websites meet accessibility standards (WCAG, ADA); Making websites usable for people with disabilities; Conducting compliance audits and implementing necessary changes",Digital Delivery,35224346795683,1,5-7 Business Days,"Level of Compliance, Ongoing Maintenance, User Testing",2000,"2,000 - 15,000",Project
40,All Business Sizes,Photography,Headshots,P-H-2810,headshots,"Professional headshots for personal branding, LinkedIn profiles, and corporate needs. Includes 3 fully retouched images.",Digital Delivery,45734082687422,1,1-2 Business Days,"Additional images ($30 each), location-based session ($50 travel fee)",150,150-250,Project
41,All Business Sizes,Photography,Real Estate Photography,P-REP-2835,real-estate-photography,High-quality interior and exterior photos for property listings. Includes up to 25 edited images showcasing the best features of the property.,Digital Delivery,25090603661905,1,1-2 Business Days,Twilight shots ($75),250,250-500,Project
42,All Business Sizes,Photography,Product Photography,P-PP-2416,product-photography,Studio-quality images for e-commerce or advertising. Pricing covers up to 5 products with basic retouching. Additional products can be included for $15 each.,Digital Delivery,84952970015668,1,1-2 Business Days,"Advanced styling/props ($50-$100 per setup), bulk pricing for large product catalogs (custom price).",200,200-400,Project
43,All Business Sizes,Photography,Photo Restoration,P-PR-3016,photo-restoration,"Digitally restore old, damaged, or faded photographs. Pricing covers one photo and includes color correction, scratch removal, and minor reconstruction.",Digital Delivery,76416879474381,1,1-2 Business Days,Heavily damaged photos ($75),50,50-150,Project
44,All Business Sizes,Photography,Retouching,P-R-4050,retouching,"Enhance and perfect images through professional editing. Includes skin smoothing, color correction, and background clean-up. Price is per image.",Digital Delivery,16269018549201,1,1-2 Business Days,"Complex edits like object removal ($50+), bulk pricing for multiple images (custom price)",30,30-100,Project
45,All Business Sizes,Photography,Group Photos,P-GP-9660,group-photos,"Capture group portraits for families, teams, or special events. Includes 5 fully edited images.",Digital Delivery,36007938913287,1,1-2 Business Days,"Additional images ($30 each), outdoor or on-location fee ($75)",200,200-350,Project
46,All Business Sizes,Programming,Custom Chatbots,P-CC-5045,custom-chatbots,Develop and sell customized chatbot solutions for businesses.,Digital Delivery,24525747669281,1,1 Hour,"AI-powered chatbots, multi-platform compatibility",50,400 - 700,Hour
47,All Business Sizes,Research,Market Research,R-MR-5468,market-research,Conduct market research and gather insights for business strategies.,Digital Delivery,26196313329786,1,1 Hour,"Survey creation, trend analysis",50,200 - 500,Hour
48,All Business Sizes,Subscriptions,Subscription Services,S-SS-2878,subscription-services,Offer subscription-based services for exclusive content and newsletters.,Digital Delivery,20862838477345,1,1 Hour,"Exclusive access, premium content",50,15 - 50/month,Hour
49,All Business Sizes,Support,Customer Support,S-CS-2543,customer-support,Provide customer support services by handling queries and responses.,Digital Delivery,36037284563664,1,1 Hour,"24/7 support, escalation handling",50,150 - 300,Hour
50,All Business Sizes,Support,Tech Support,S-TS-7181,tech-support,Offer tech support and troubleshooting assistance.,Digital Delivery,13193681859339,1,1 Hour,"Remote assistance, setup tutorials",50,150 - 300,Hour
51,Small,Web3,Web3 Consulting and Education,W3-CAE-1164,web3-consulting-and-education,"Provide guidance and training on Web3 technologies, including blockchain, NFTs, and decentralized ecosystems.",Digital Delivery,86763178062714,3,7-10 Business Days,"Customized training modules, industry-specific consultations",2500,"1,000 - 5,000",Project
52,Small,Web3,Smart Contract Development,W3-SCD-3725,smart-contract-development,Design and deploy secure smart contracts for various blockchain platforms to automate transactions.,Digital Delivery,20530814931315,3,4-5 Business Days,"Multi-platform support, advanced testing options",5000,"2,000 - 10,000",Project
53,Small,Web3,NFT Integration,W3-NI-2426,nft-integration,Integrate non-fungible token functionality into platforms for digital asset creation and management.,Digital Delivery,63318658338474,5,15-20 Business Days,"Cross-chain compatibility, dynamic metadata options",11000,"3,000 - 15,000",Project
54,Small,Web3,Decentralized Web Hosting,W3-DWH-5887,decentralized-web-hosting,Set up decentralized hosting solutions to ensure content availability and censorship resistance.,Digital Delivery,16310871290403,3,4-5 Business Days,"Scalable storage, enhanced privacy features",1500,"500 - 3,000",Project
55,Small,Web3,Blockchain-Based Payment Integration,W3-PI-6388,blockchain-based-payment-integration,Implement blockchain payment gateways to enable secure and fast cryptocurrency transactions.,Digital Delivery,65940494145215,3,7-10 Business Days,"Support for multiple cryptocurrencies, real-time transaction monitoring",4500,"1,500 - 7,000",Project
56,Medium,Web3,Custom Blockchain Solutions,W3-CBS-1207,custom-blockchain-solutions,Develop tailored blockchain platforms to meet unique business requirements.,Digital Delivery,22515530946973,5,25-30 Business Days,"Custom consensus algorithms, modular architecture",30000,"10,000 - 50,000",Project
57,Medium,Web3,Decentralized Applications (DApps),W3-DA-4200,decentralized-applications-dapps,Build user-friendly decentralized applications with blockchain-based backend systems.,Digital Delivery,76547149292154,5,40-50 Business Days,"Custom UI/UX design, integration with existing platforms",45000,"15,000 - 75,000",Project
58,Medium,Web3,Tokenization Services,W3-TS-9703,tokenization-services,"Assist in creating and managing digital tokens for assets, products, and services.",Digital Delivery,92842924373813,5,15-20 Business Days,"Regulatory-compliant token standards, asset-backed token creation",15000,"8,000 - 30,000",Project
59,Medium,Web3,Identity and Data Management Solutions,W3-IADMS-6206,identity-and-data-management-solutions,Provide blockchain solutions for secure identity verification and data privacy.,Digital Delivery,73064086186736,5,15-20 Business Days,"Decentralized identity support, GDPR-compliant solutions",25000,"10,000 - 40,000",Project
60,Medium,Web3,Cross-Chain Solutions,W3-S-9677,cross-chain-solutions,Enable seamless interoperability and data exchange between multiple blockchain networks.,Digital Delivery,13567700390896,5,25-30 Business Days,"Bridge development, real-time synchronization",75000,"20,000 - 100,000",Project
61,Large,Web3,Enterprise Blockchain Integration,W3-EBI-1699,enterprise-blockchain-integration,Integrate blockchain systems into enterprise workflows for improved efficiency and security.,Digital Delivery,52280020167217,5,40-50 Business Days,"Custom API integrations, enterprise-grade scalability",150000,"50,000 - 250,000",Project
62,Large,Web3,DeFi Integration,W3-DI-7588,defi-integration,"Incorporate decentralized finance protocols into platforms for lending, trading, and staking.",Digital Delivery,55225619530351,5,40-50 Business Days,"Yield farming integration, liquidity pool management",100000,"30,000 - 150,000",Project
63,Large,Web3,Supply Chain Transparency,W3-SCT-7300,supply-chain-transparency,Leverage blockchain to provide real-time tracking and verification of supply chain activities.,Digital Delivery,66882207361884,5,40-50 Business Days,"IoT integration, tamper-proof audit trails",200000,"75,000 - 300,000",Project
64,Large,Web3,Corporate Governance Solutions,W3-CGS-4024,corporate-governance-solutions,Develop blockchain-based systems for transparent corporate governance and voting.,Digital Delivery,19263536217596,5,40-50 Business Days,"Custom voting algorithms, shareholder management tools",120000,"40,000 - 200,000",Project
65,Large,Web3,Security Token Offerings (STO),W3-STO-1213,security-token-offerings-sto,Facilitate the creation and issuance of security tokens for fundraising and investment.,Digital Delivery,88129625450959,5,40-50 Business Days,"Compliance with SEC regulations, investor dashboards",175000,"50,000 - 300,000",Project
66,Cross-Business,Web3,Web3 Security Audits,W3-SA-4160,web3-security-audits,Conduct comprehensive audits to ensure the security of Web3 applications and smart contracts.,Digital Delivery,67801006981945,3,7-10 Business Days,"Vulnerability assessments, penetration testing",18000,"5,000 - 25,000",Project
67,Cross-Business,Web3,Interoperability Solutions,W3-IS-6146,interoperability-solutions,Provide solutions to connect and integrate different blockchain networks efficiently.,Digital Delivery,62159138423123,3,25-30 Business Days,"Custom bridge protocols, hybrid chain compatibility",85000,"20,000 - 150,000",Project
68,Cross-Business,Web3,Web3 Infrastructure Consulting,W3-IC-5110,web3-infrastructure-consulting,Offer strategic advice on building scalable and reliable Web3 infrastructure.,Digital Delivery,46184614134536,3,7-10 Business Days,"Performance optimization, future-proof architecture",35000,"10,000 - 50,000",Project
69,Cross-Business,Web3,Regulatory Compliance,W3-RC-8973,regulatory-compliance,Help businesses navigate and comply with blockchain and Web3-related regulations.,Digital Delivery,12905351749025,3,7-10 Business Days,"Global compliance support, legal risk assessment",55000,"15,000 - 75,000",Project
70,Small Business,Wordpress,Basic Website Setup and Customization,WP-BWSAC-2097,basic-website-setup-and-customization,"Setting up a WordPress site with essential plugins and a customized theme; Designing a simple, user-friendly layout that reflects the business’s brand; Creating basic pages (Home, About, Services, Contact)",Digital Delivery,68752538027307,1,1-3 Business Days,"Custom page layouts, additional plugins installation",500,400 - 700,Project
71,Small Business,Wordpress,E-Commerce Integration,WP-I-4638,e-commerce-integration,Setting up WooCommerce or other e-commerce plugins. Configuring payment gateways and product pages.  Training the client on how to manage their online store.,Digital Delivery,98720908153351,1,1-3 Business Days,"Multi-vendor marketplace setup, advanced shipping options",800,"700 - 1,200",Project
72,Small Business,Wordpress,Website Maintenance and Support,WP-WMAS-3941,website-maintenance-and-support,"Regular updates for WordPress core, themes, and plugins; Backup and restore services; Security monitoring and malware removal",Digital Delivery,55348001664418,1,1-3 Business Days,"24/7 support, priority incident response",300,250 - 500,Project
73,Small Business,Wordpress,SEO Optimization,WP-SO-3309,seo-optimization,"Basic on-page SEO setup (title tags, meta descriptions, alt text); Installation and configuration of SEO plugins like Yoast SEO; Local SEO strategies for small businesses targeting local customers",Digital Delivery,30774456710067,1,1-3 Business Days,"Schema markup setup, keyword research",400,350 - 600,Project
74,Small Business,Wordpress,Content Management and Blog Setup,WP-CMABS-2230,content-management-and-blog-setup,Setting up a blog section and training on content management.  Creating and scheduling blog posts.  Ensuring the blog is optimized for SEO.,Digital Delivery,68564923891739,1,1-3 Business Days,"Custom categories, featured blog designs",350,300 - 500,Project
75,Small Business,Wordpress,Speed Optimization,WP-SO-3133,speed-optimization,"Implementing caching solutions; Image optimization; Minimizing CSS, JavaScript, and HTML",Digital Delivery,50345433926955,1,1-3 Business Days,"Advanced caching strategies, CDN setup",300,250 - 450,Project
76,Medium Business,Wordpress,Advanced Customization and Theme Development,WP-ACATD-5371,advanced-customization-and-theme-development,"Developing custom themes tailored to the brand; Integrating advanced features like custom post types, fields, and taxonomies",Digital Delivery,31052178275457,3,3-5 Business Days,"Additional page templates, custom animations",1000,"800 - 1,500",Project
77,Medium Business,Wordpress,Advanced E-Commerce Solutions,WP-AS-3349,advanced-e-commerce-solutions,Multi-currency and multi-language support.  Integration with CRM and ERP systems.  Subscription-based services and membership sites.,Digital Delivery,85762223738771,3,3-5 Business Days,"Recurring payment options, dynamic pricing",1500,"1,200 - 2,000",Project
78,Medium Business,Wordpress,Custom Plugin Development,WP-CPD-9481,custom-plugin-development,Developing custom plugins to add unique functionality.  Modifying existing plugins to suit specific business needs.,Digital Delivery,70198266636742,1,1-3 Business Days,"Extended plugin functionality, API integrations",1200,"1,000 - 1,800",Project
79,Medium Business,Wordpress,Content Strategy and Management,WP-CSAM-6557,content-strategy-and-management,"Developing a content strategy to drive engagement and conversions; Implementing content marketing tactics, including blogging, video, and social media integration",Digital Delivery,97640415842146,1,1-3 Business Days,"Social media content planning, video editing support",600,500 - 900,Project
80,Medium Business,Wordpress,Analytics and Conversion Optimization,WP-AACO-9811,analytics-and-conversion-optimization,"Setting up Google Analytics, heatmaps, and conversion tracking; A/B testing of pages to improve conversion rates; Implementing user feedback mechanisms like surveys and reviews",Digital Delivery,34822992533965,1,1-3 Business Days,"Detailed funnel analysis, custom tracking reports",700,"600 - 1,000",Project
81,Medium Business,Wordpress,Ongoing Website Maintenance and Performance Optimization,WP-OWMAPO-4354,ongoing-website-maintenance-and-performance-optimization,Regular performance audits and speed enhancements.  Proactive security measures and monitoring.  Custom reports and analytics review sessions.,Digital Delivery,21999041322458,3,3-5 Business Days,"Dedicated account manager, real-time monitoring",500/month,400 - 800/month,Project
82,Large Business,Wordpress,Enterprise-Level WordPress Development,WP-WD-8948,enterprise-level-wordpress-development,"Building scalable WordPress multisite networks; Integrating WordPress with enterprise-level tools and platforms (CRM, ERP, etc.); Developing custom APIs for integration with other systems",Digital Delivery,28480740716832,3,3-5 Business Days,"Custom dashboard integration, enterprise-grade security",3000,"2,500 - 4,500",Project
83,Large Business,Wordpress,Custom Theme and Plugin Development,WP-CTAPD-2055,custom-theme-and-plugin-development,"Designing highly customized, brand-specific themes; Developing enterprise-grade plugins with complex functionalities; Continuous development and iterative updates based on business needs",Digital Delivery,12007701187044,3,3-5 Business Days,"Iterative updates, multi-device testing",2500,"2,000 - 4,000",Project
84,Large Business,Wordpress,Advanced E-Commerce and Marketplace Solutions,WP-AAMS-5334,advanced-e-commerce-and-marketplace-solutions,"Creating large-scale online stores with hundreds or thousands of products; Developing custom checkout processes, user roles, and permission management; Integration with third-party logistics and inventory management systems",Digital Delivery,52542745485413,3,3-5 Business Days,"Advanced inventory management, warehouse integration",5000,"4,000 - 7,500",Project
85,Large Business,Wordpress,Comprehensive SEO and Digital Marketing,WP-CSADM-3201,comprehensive-seo-and-digital-marketing,"Advanced SEO strategies including technical SEO audits, backlinking, and content optimization; Implementing large-scale digital marketing campaigns; Managing and optimizing PPC campaigns and social media ads",Digital Delivery,55213723441930,3,3-5 Business Days,"Custom ad campaigns, ongoing SEO support",2000,"1,500 - 3,000",Project
86,Large Business,Wordpress,Security and Compliance Services,WP-SACS-9845,security-and-compliance-services,"Implementing enterprise-level security protocols; Ensuring compliance with industry regulations (GDPR, CCPA, etc.); Regular security audits and penetration testing",Digital Delivery,47989557632928,3,3-5 Business Days,"Custom security dashboards, vulnerability fixes",1500,"1,200 - 2,000",Project
87,Large Business,Wordpress,High Availability and Performance Optimization,WP-HAAPO-5556,high-availability-and-performance-optimization,"Implementing CDN, advanced caching, and database optimization; Setting up and managing redundant hosting and disaster recovery plans; Ensuring the site can handle high traffic with minimal downtime",Digital Delivery,34077609518227,3,3-5 Business Days,"Failover systems, real-time traffic management",2500,"2,000 - 3,500",Project
88,Large Business,Wordpress,Custom Reporting and Data Analysis,WP-CRADA-7490,custom-reporting-and-data-analysis,Developing custom dashboards and reports for business intelligence.  Integrating WordPress data with other business systems for holistic insights.  Ongoing data analysis to inform strategy and decision-making.,Digital Delivery,94149840457049,3,3-5 Business Days,"Interactive dashboards, predictive analytics",800,"700 - 1,200",Project
89,All Business Sizes,Wordpress,Training and Consulting,WP-TAC-2496,training-and-consulting,Providing WordPress training for in-house teams.  Offering consultation services on best practices and digital strategy.,Digital Delivery,49726664353560,1,1-3 Business Days,"Custom training modules, hands-on workshops",500,400 - 700,Project
90,All Business Sizes,Wordpress,Website Redesign and Rebranding,WP-WRAR-7790,website-redesign-and-rebranding,Redesigning existing websites to align with new branding or market shifts. Improving user experience (UX) and user interface (UI).,Digital Delivery,51107856020180,1,1-3 Business Days,"Prototyping, A/B testing for design elements",1000,"800 - 1,500",Project
91,All Business Sizes,Wordpress,Migration Services,WP-MS-7724,migration-services,Migrating websites to WordPress from other platforms.  Transferring WordPress sites between hosting providers without downtime.,Digital Delivery,18147609107602,1,1-3 Business Days,"Data validation, SEO migration plans",600,500 - 900,Project
92,All Business Sizes,Wordpress,Accessibility and Usability Enhancements,WP-AAUE-3264,accessibility-and-usability-enhancements,Ensuring websites meet accessibility standards (WCAG 2.1). Conducting usability testing and making necessary adjustments.,Digital Delivery,58270370800401,1,1-3 Business Days,"Custom accessibility testing, detailed compliance reports",700,"600 - 1,000",Project
93,All Business Sizes,Writing,Blog Writing,W-BW-8810,blog-writing,"Generate ideas, outlines, and content for blogs. Offer writing services to clients.",Digital Delivery,25903365253926,1,1 Hour,"SEO optimization, long-form content",50,40 - 100,Hour
94,All Business Sizes,Writing,Copywriting,W-C-3122,copywriting,"Develop marketing copy for websites, emails, and advertisements.",Digital Delivery,81093655936224,1,1 Hour,"Brand tone customization, multiple revisions",50,100 - 200,Hour
95,All Business Sizes,Writing,Editing and Proofreading,W-EAP-5051,editing-and-proofreading,Assist with editing and proofreading tasks to ensure high-quality content.,Digital Delivery,64299921779656,1,1 Hour,"Rush service, advanced grammar check",50,50 - 100,Hour
96,All Business Sizes,Writing,Transcription Services,W-TS-2118,transcription-services,Offer transcription services for audio and video content.,Digital Delivery,67414121775440,1,1 Hour,"Timestamped transcription, multilingual support",50,80 - 150,Hour
